task_id,split,state,score,run_id
p3-task-001,evolve,SUCCEEDED,1.0,run-20d6d969ee78
p3-task-002,evolve,SUCCEEDED,1.0,run-8b520c4e21cf
p3-task-003,evolve,SUCCEEDED,1.0,run-2b47db3eed6d
p3-task-004,evolve,SUCCEEDED,1.0,run-31e25814ce5a
p3-task-005,evolve,SUCCEEDED,1.0,run-f994c72a1ca8
p3-task-006,evolve,SUCCEEDED,1.0,run-f65f9be7e840
p3-task-007,evolve,SUCCEEDED,1.0,run-cadbc6cd9a7f
p3-task-008,evolve,SUCCEEDED,1.0,run-ab4513d6d237
p3-task-009,evolve,SUCCEEDED,1.0,run-3908fa11a9e8
p3-task-010,evolve,SUCCEEDED,1.0,run-2ce560cd3656
p3-task-011,evolve,SUCCEEDED,1.0,run-c3cee3d9688f
p3-task-012,evolve,SUCCEEDED,1.0,run-f445a737e729
p3-task-013,develop,SUCCEEDED,1.0,run-8f42000caa79
p3-task-014,develop,SUCCEEDED,1.0,run-4d9de890d28f
p3-task-015,develop,SUCCEEDED,1.0,run-a2f4b36985ad
p3-task-016,develop,SUCCEEDED,1.0,run-2275b55959f9
p3-task-017,develop,SUCCEEDED,1.0,run-ac17a6e3b102
p3-task-018,develop,SUCCEEDED,1.0,run-131d25d802ba
p3-task-019,regression,SUCCEEDED,1.0,run-e11564ee0de9
p3-task-020,regression,SUCCEEDED,1.0,run-db1ac0e2ad85
p3-task-021,regression,SUCCEEDED,1.0,run-e0bcc08185a0
p3-task-022,regression,SUCCEEDED,1.0,run-a461d7ad1bc5
p3-task-028,ood_transfer,SUCCEEDED,1.0,run-525b744a17b7
p3-task-029,ood_transfer,SUCCEEDED,1.0,run-78ebb349ad31
p3-task-030,ood_transfer,SUCCEEDED,1.0,run-8f4b6840c03d
